"AvgDownloadspeed","MinDownloadspeed","MaxDownloadspeed","Postcode","ShortPostcode","Town/City","County"
86.5,1.7,200,"BS10 6SD","BS10 6","BRISTOL","CITY OF BRISTOL"
33,8.3,70,"BS10 6SE","BS10 6","BRISTOL","CITY OF BRISTOL"
86.6,6.8,200,"BS10 6SG","BS10 6","BRISTOL","CITY OF BRISTOL"
65.4,2.7,200,"BS10 6SH","BS10 6","BRISTOL","CITY OF BRISTOL"
72.5,7,200,"BS10 6SJ","BS10 6","BRISTOL","CITY OF BRISTOL"
78.3,4.1,200,"BS10 6SL","BS10 6","BRISTOL","CITY OF BRISTOL"
85.6,7.1,200,"BS10 6SQ","BS10 6","BRISTOL","CITY OF BRISTOL"
47.4,14.1,80,"BS10 6SR","BS10 6","BRISTOL","CITY OF BRISTOL"
86.5,10,150,"BS10 6SS","BS10 6","BRISTOL","CITY OF BRISTOL"
19.8,6.3,57.4,"BS10 6SY","BS10 6","BRISTOL","CITY OF BRISTOL"
80,30,200,"BS10 6TB","BS10 6","BRISTOL","CITY OF BRISTOL"
74.9,4,300,"BS10 6TD","BS10 6","BRISTOL","CITY OF BRISTOL"
63.3,15.3,150,"BS10 6TE","BS10 6","BRISTOL","CITY OF BRISTOL"
30.3,8.1,59.3,"BS10 6TG","BS10 6","BRISTOL","CITY OF BRISTOL"
24.2,8.6,42.7,"BS10 6TH","BS10 6","BRISTOL","CITY OF BRISTOL"
62.2,8.2,200,"BS10 6TJ","BS10 6","BRISTOL","CITY OF BRISTOL"
21.6,11.2,42.8,"BS10 6TN","BS10 6","BRISTOL","CITY OF BRISTOL"
56.9,2.9,106.3,"BS10 6TP","BS10 6","BRISTOL","CITY OF BRISTOL"
23.4,7.8,55,"BS10 6TQ","BS10 6","BRISTOL","CITY OF BRISTOL"
57.8,7.4,200,"BS10 6TS","BS10 6","BRISTOL","CITY OF BRISTOL"
27.7,15.9,39.5,"BS10 6TY","BS10 6","BRISTOL","CITY OF BRISTOL"
31.2,6.4,63.2,"BS10 6UE","BS10 6","BRISTOL","CITY OF BRISTOL"
